Cu,Fe,S,SiO2,Al2O3,CaO,MgO,S/Cu,(Fe+S)/Cu,CONC. FEED RATE,SILICA FEED RATE ,COAL FEED RATE,C-SLAG FEED RATE - S Furnace,S-FURNACE AIR,S-FURNACE OXYGEN,Cu_in_Cl_Slag,Fe/SiO2,Fe3O4_Cls,Matte Grade,Cu_C_slag,Fe_C_slag,CaO_C_slag,Fe3O4_C_slag,Cu_class
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,106.0,14.9,2.3,9.3,17919.9,20849.0,0.85,1.14,1.72,69.13,12.64,45.19,17.24,27.85,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,98.0,11.8,2.4,8.2,17254.0,19839.1,0.81,1.1,1.65,68.44,18.36,43.11,13.77,29.44,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,13.4,0.7,12.1,18836.7,21995.9,0.82,1.24,1.71,68.13,13.09,44.81,17.41,28.91,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,101.0,13.5,0.5,11.6,18645.2,20517.7,0.8,1.15,1.76,68.31,12.04,46.43,16.71,28.83,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,101.0,13.7,0.5,11.4,18005.9,21330.1,0.8,1.18,1.58,69.21,12.56,45.12,17.27,28.58,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,104.0,14.5,0.8,11.9,18893.0,21083.5,0.84,1.28,1.64,69.23,11.88,44.47,17.79,28.66,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,106.0,14.0,0.5,9.3,18620.8,22026.7,0.81,1.21,1.75,69.02,11.27,46.14,16.2,26.9,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,106.0,14.0,0.5,9.0,18496.5,21596.0,0.84,1.28,1.69,69.09,11.28,46.21,16.21,27.03,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,104.0,14.0,1.3,9.0,18476.2,20989.3,0.84,1.3,1.71,69.13,12.78,44.09,15.26,27.4,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,104.0,14.3,2.0,9.0,18486.9,20895.3,0.81,1.28,1.82,68.97,12.97,44.22,15.67,28.1,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,14.8,2.0,9.0,18453.1,20760.0,0.82,1.23,1.69,69.07,13.32,44.69,15.94,27.75,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,95.0,15.0,2.3,9.0,18166.5,19743.7,0.82,1.23,1.58,69.18,12.88,45.06,16.38,28.1,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,94.0,15.4,3.2,6.6,17329.6,18636.2,0.83,1.13,1.49,68.41,11.42,46.68,16.98,26.29,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,106.0,15.4,2.6,7.8,18614.3,20003.7,0.71,1.19,1.58,67.91,11.25,46.76,16.49,25.77,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,97.0,14.0,1.8,6.0,17630.2,19820.3,0.74,1.18,1.64,68.11,11.65,46.52,16.76,27.09,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,14.7,1.0,8.0,17463.9,20947.3,0.75,1.18,1.78,68.65,11.59,46.5,16.75,28.44,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,99.0,12.6,0.8,9.3,17984.3,19780.0,0.84,1.23,1.87,68.94,13.62,44.11,17.37,27.84,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,101.0,13.5,2.5,8.2,17298.6,20502.2,0.83,1.22,1.86,68.86,12.49,45.43,16.81,29.01,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,102.0,14.0,2.7,8.0,17620.4,21005.7,0.82,1.16,1.56,68.71,13.29,46.09,16.16,30.11,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,95.0,14.1,2.4,8.0,17089.6,19827.8,0.72,1.06,1.6,68.52,12.46,45.76,16.66,30.33,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,98.0,13.9,1.8,8.0,17998.6,22023.2,0.71,1.07,1.66,68.75,12.35,46.57,16.72,30.52,1
